iter	RMSE
0	7.848928734
1	7.743260386
2	7.608394038
3	7.49248454
4	7.376403855
5	7.259107104
6	7.153720327
7	7.069441276
8	6.962612632
9	6.872769494
10	6.781947493
11	6.705667515
12	6.628007663
13	6.550672713
14	6.469473529
15	6.40389603
16	6.339011539
17	6.26489827
18	6.205140998
19	6.137170764
20	6.075083325
21	6.026049715
22	5.979240302
23	5.929458918
24	5.872839193
25	5.823001945
26	5.779518601
27	5.745293818
28	5.702791639
29	5.655259703
30	5.618357834
31	5.583939855
32	5.546115618
33	5.510879577
34	5.475644015
35	5.439290131
36	5.409889657
37	5.365696327
38	5.324768916
39	5.288345245
40	5.259592436
41	5.228468072
42	5.202087745
43	5.167242714
44	5.144793769
45	5.11871134
46	5.087053807
47	5.062327285
48	5.03252634
49	5.006348756
50	4.983073062
51	4.958321606
52	4.93726461
53	4.910232156
54	4.884914473
55	4.86442658
56	4.843418042
57	4.82324934
58	4.803921858
59	4.785197041
60	4.7663664
61	4.737740069
62	4.716483361
63	4.69676137
64	4.679088575
65	4.662201492
66	4.647025129
67	4.628771124
68	4.609827951
69	4.594142466
70	4.578191655
71	4.561259454
72	4.543856546
73	4.526030419
74	4.509491346
75	4.494728648
76	4.476823705
77	4.462739663
78	4.445242618
79	4.428754706
80	4.415580844
81	4.40199826
82	4.385661567
83	4.371493381
84	4.359609525
85	4.343614604
86	4.328881246
87	4.313831387
88	4.297479531
89	4.283936646
90	4.267577409
91	4.258272737
92	4.244018118
93	4.226697632
94	4.212280187
95	4.199525084
96	4.185639116
97	4.167660333
98	4.157888257
99	4.144653012
100	4.132591792
101	4.116914065
102	4.106194881
103	4.095103718
104	4.082605456
105	4.072824141
106	4.059340616
107	4.043410864
108	4.030384638
109	4.020295022
110	4.008953471
111	3.999464387
112	3.989075032
113	3.976216982
114	3.961754177
115	3.947456308
116	3.934990138
117	3.92119565
118	3.906690104
119	3.892064341
120	3.881618241
121	3.867006895
122	3.853240562
123	3.841785052
124	3.829993481
125	3.818178692
126	3.805965586
127	3.794263954
128	3.787588639
129	3.772817245
130	3.760427703
131	3.751655741
132	3.737342203
133	3.731697168
134	3.721707938
135	3.714580782
136	3.70546826
137	3.696598004
138	3.685833836
139	3.675613551
140	3.664796698
141	3.658834245
142	3.646106264
143	3.635985612
144	3.624066637
145	3.616058008
146	3.608387693
147	3.596007041
148	3.590118605
149	3.581353472
150	3.571418035
151	3.563466405
152	3.553766263
153	3.546834103
154	3.541743386
155	3.531243262
156	3.520107424
157	3.511982086
158	3.504752673
159	3.495187127
160	3.490975552
161	3.477131017
162	3.470620992
163	3.462189831
164	3.451016273
165	3.442911613
166	3.436582856
167	3.428464026
168	3.416395892
169	3.4077928
170	3.398354152
171	3.391051157
172	3.379960762
173	3.375239225
174	3.371118457
175	3.356282606
176	3.345662103
177	3.339518506
178	3.333615755
179	3.325048073
180	3.314399524
181	3.304999586
182	3.297349976
183	3.289564678
184	3.281646079
185	3.274392444
186	3.269242314
187	3.25560045
188	3.245187847
189	3.231043681
190	3.223624499
191	3.211257983
192	3.198399205
193	3.193771509
194	3.182078667
195	3.173448306
196	3.162438801
197	3.157084597
198	3.152661159
199	3.148731539
