iter	Passed	Remaining
0	72	14411
1	83	8304
2	92	6055
3	106	5214
4	111	4351
5	117	3795
6	123	3415
7	126	3042
8	130	2760
9	132	2514
10	134	2302
11	135	2129
12	138	1986
13	139	1858
14	143	1769
15	146	1682
16	148	1601
17	151	1527
18	153	1462
19	155	1401
20	157	1343
21	159	1289
22	161	1242
23	164	1204
24	166	1164
25	168	1130
26	170	1093
27	172	1059
28	174	1027
29	176	998
30	178	971
31	180	945
32	181	920
33	183	897
34	186	878
35	189	861
36	192	846
37	197	841
38	202	834
39	206	827
40	210	816
41	213	803
42	217	794
43	221	783
44	224	771
45	228	765
46	233	759
47	237	750
48	240	741
49	244	732
50	247	722
51	251	715
52	256	711
53	260	705
54	264	696
55	267	688
56	270	679
57	276	675
58	278	665
59	280	655
60	283	645
61	286	637
62	289	629
63	292	622
64	295	613
65	299	607
66	306	608
67	312	605
68	317	602
69	322	598
70	326	593
71	331	589
72	335	584
73	339	578
74	342	570
75	344	562
76	347	555
77	350	548
78	353	540
79	356	534
80	359	527
81	362	521
82	365	514
83	367	507
84	370	501
85	372	494
86	375	487
87	378	482
88	381	476
89	384	469
90	387	464
91	390	457
92	392	451
93	395	446
94	398	440
95	400	434
96	403	428
97	406	423
98	409	417
99	412	412
100	415	406
101	418	401
102	421	396
103	423	391
104	427	386
105	431	382
106	435	378
107	440	375
108	447	373
109	452	370
110	455	365
111	460	361
112	462	356
113	472	356
114	501	370
115	504	365
116	509	361
117	515	358
118	519	353
119	524	349
120	527	344
121	530	338
122	532	333
123	535	327
124	537	322
125	539	316
126	541	311
127	544	306
128	546	301
129	549	295
130	551	290
131	554	285
132	555	280
133	557	274
134	559	269
135	561	264
136	563	259
137	565	254
138	567	248
139	569	244
140	571	239
141	573	234
142	574	229
143	576	224
144	578	219
145	580	214
146	582	209
147	583	205
148	585	200
149	587	195
150	588	190
151	590	186
152	591	181
153	593	177
154	595	172
155	596	168
156	598	163
157	601	159
158	603	155
159	605	151
160	606	146
161	608	142
162	610	138
163	612	134
164	614	130
165	616	126
166	618	122
167	619	118
168	621	114
169	623	110
170	625	106
171	627	102
172	629	98
173	630	94
174	632	90
175	634	86
176	636	82
177	638	78
178	639	75
179	641	71
180	643	67
181	644	63
182	646	60
183	648	56
184	650	52
185	651	49
186	653	45
187	655	41
188	657	38
189	658	34
190	660	31
191	662	27
192	664	24
193	665	20
194	668	17
195	673	13
196	679	10
197	685	6
198	688	3
199	690	0
